# SSSOM Mapping file: ONGA -> EDAM
# curie_map:
#   onga: https://databio.org/onga/
#   edam: http://edamontology.org/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://databio.org/onga/mappings/edam
# mapping_set_description: Mappings from ONGA DataType and FeatureType terms to EDAM data and topic terms. EDAM covers data products and analysis topics, so coverage concentrates on DataType; located sequence features map to the Sequence Ontology instead (see so.sssom.tsv).
# creator_id: https://orcid.org/0000-0001-5884-4247
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_date: 2026-08-31
# subject_source: https://databio.org/onga/
# object_source: EDAM
#
# subject_id is the term's permanent id (onga:ONGA_NNNNNNN, the `meaning:` of
# the permissible value, ledger curation/term_ids.tsv); subject_label is the
# live label and must agree with it. Subjects are DataType / FeatureType terms
# (src/file_content.yaml) and Format values (src/format.yaml). Compound terms that the faceting program decomposed
# (see mappings/facet_decomposition.tsv) carry no mapping of their own: the
# facet value (filter_status, thresholding, reference_build_sex,
# haplotype_resolution, ...) has no EDAM counterpart, so the EDAM sense is
# carried entirely by the atomic base term's row.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	comment
onga:ONGA_0000201	skos:exactMatch	edam:data_0918	semapv:UnspecifiedMatching	paternal variant calls	DNA variation	carried from src/ during the SSSOM flip; unreviewed
onga:ONGA_0000202	skos:exactMatch	edam:data_0918	semapv:UnspecifiedMatching	reference variants	DNA variation	carried from src/ during the SSSOM flip; unreviewed
onga:ONGA_0000204	skos:exactMatch	edam:data_0918	semapv:UnspecifiedMatching	variant effect quantifications	DNA variation	carried from src/ during the SSSOM flip; unreviewed
onga:ONGA_0000230	skos:exactMatch	edam:data_0918	semapv:UnspecifiedMatching	SNPs	DNA variation	carried from src/ during the SSSOM flip; unreviewed
onga:ONGA_0000231	skos:exactMatch	edam:data_0918	semapv:UnspecifiedMatching	indels	DNA variation	carried from src/ during the SSSOM flip; unreviewed
onga:ONGA_0000238	skos:exactMatch	edam:format_3003	semapv:ManualMappingCuration	BED	BED	moved from meaning: when ONGA ids were minted
onga:ONGA_0000239	skos:exactMatch	edam:format_3004	semapv:ManualMappingCuration	bigBed	bigBed	moved from meaning: when ONGA ids were minted
onga:ONGA_0000240	skos:exactMatch	edam:format_3006	semapv:ManualMappingCuration	bigWig	bigWig	moved from meaning: when ONGA ids were minted
onga:ONGA_0000241	skos:exactMatch	edam:format_3005	semapv:ManualMappingCuration	WIG	WIG	moved from meaning: when ONGA ids were minted
onga:ONGA_0000242	skos:exactMatch	edam:format_3583	semapv:ManualMappingCuration	bedGraph	bedgraph	moved from meaning: when ONGA ids were minted
onga:ONGA_0000246	skos:exactMatch	edam:format_1939	semapv:ManualMappingCuration	GFF3	GFF3	moved from meaning: when ONGA ids were minted
onga:ONGA_0000247	skos:exactMatch	edam:format_2306	semapv:ManualMappingCuration	GTF	GTF	moved from meaning: when ONGA ids were minted
onga:ONGA_0000248	skos:exactMatch	edam:format_3016	semapv:ManualMappingCuration	VCF	VCF	moved from meaning: when ONGA ids were minted
onga:ONGA_0000249	skos:exactMatch	edam:format_2572	semapv:ManualMappingCuration	BAM	BAM	moved from meaning: when ONGA ids were minted
