# SSSOM Mapping file: ONGA -> Sequence Ontology (SO)
# curie_map:
#   onga: https://databio.org/onga/
#   SO: http://purl.obolibrary.org/obo/SO_
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: https://databio.org/onga/mappings/so
# mapping_set_description: ONGA subjects denote SETS of genomic elements; SO objects denote INDIVIDUAL element types, so the relation is membership, not equivalence. Membership rows use onga:has_element_type with an element_type_fit grade; skos:relatedMatch marks rows whose members are NOT instances; skos:exactMatch/closeMatch/broadMatch are banned against SO except for the two whitelisted SO classes that are themselves set-denoting.
# creator_id: https://orcid.org/0000-0001-5884-4247
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_date: 2026-08-31
# subject_source: https://databio.org/onga/
# object_source: SO
# object_source_version: so.obo 2026-08-07
# extension_definitions:
#   - slot_name: element_type_fit
#     property: https://databio.org/onga/element_type_fit
#     type_hint: http://www.w3.org/2001/XMLSchema#string
#
# THE SET / ELEMENT RULE
# ----------------------
# An ONGA DataType or FeatureType term names a SET of genomic elements -- a
# file, a track, a set of rows. A Sequence Ontology class names an INDIVIDUAL
# element type. These are different kinds of thing, so ONGA never asserts
# identity, equivalence, or hierarchy against an SO class. ONGA is a USER of SO,
# not a competitor to it. See the ADR "ONGA terms denote sets; SO terms denote
# elements" and DECISIONS.md design principle #7.
#
# PREDICATE POLICY
# ----------------
#   onga:has_element_type  every row of a file bearing the subject term is an
#                          INSTANCE of the object SO class. This is the
#                          membership relation, not a mapping. Multi-element-type
#                          subjects (mixed sets) carry one row per SO class.
#   skos:relatedMatch      the members are NOT instances of the object class;
#                          the two concepts are merely associatively related
#                          (a model of a feature, a measurement about a feature,
#                          an assignment to a feature). This is the only SKOS
#                          predicate ONGA uses against an element-level SO class.
#   skos:exactMatch        BANNED against SO, except for the two whitelisted
#   skos:closeMatch        set-denoting SO classes below.
#   skos:broadMatch
#
# THE TWO WHITELISTED SET-TO-SET EXCEPTIONS
# -----------------------------------------
#   SO:0001505 reference_genome -- "A collection of sequences (often
#     chromosomes) taken as the standard for a given organism and genome
#     assembly."
#   SO:0001506 variant_genome -- "A collection of sequences (often chromosomes)
#     of an individual."
# Both SO classes are THEMSELVES set-denoting, so the level shift does not apply
# and a plain SKOS match is correct. scripts/build_so_sssom.py fails the build if
# any other SO id is given a SKOS *Match predicate.
#
# COLUMNS
# -------
#   subject_category   constant "genomic element set"      (ONGA side: a SET)
#   object_category    constant "sequence feature type"    (SO side: an ELEMENT)
#   element_type_fit   how tightly the SO class fits the members -- a curation
#                      grade, NOT a different relation:
#                        exact       the SO class is the tight fit
#                        approximate SO's nearest available class; imperfect
#                        broad       all members are instances but the SO class
#                                    is broader -- AN SO GAP, and the
#                                    machine-readable feed into
#                                    proposals/upstream_requests.yaml
#                      Empty on skos:* rows, where fit does not apply.
#
# Terms reviewed and found to have NO SO element type at all (signal values,
# matrices, models, edges) carry `element_type_fit: not_applicable` as an
# annotation on the permissible value in src/file_content.yaml and appear in no
# row here, since SSSOM requires an object.
subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	subject_category	object_category	element_type_fit	comment
onga:regulatory_elements	onga:has_element_type	SO:0000625	semapv:ManualMappingCuration	regulatory elements	silencer	genomic element set	sequence feature type	exact	Mixed set; see the enhancer row
onga:regulatory_elements	onga:has_element_type	SO:0000627	semapv:ManualMappingCuration	regulatory elements	insulator	genomic element set	sequence feature type	exact	Mixed set; see the enhancer row
onga:curated_binding_sites	onga:has_element_type	SO:0000235	semapv:ManualMappingCuration	curated binding sites	TF_binding_site	genomic element set	sequence feature type	broad	Curation is provenance; content is a TF binding site
onga:polyA_sites	onga:has_element_type	SO:0000553	semapv:ManualMappingCuration	polyA sites	polyA_site	genomic element set	sequence feature type	exact	Direct match
onga:transcription_start_sites	onga:has_element_type	SO:0000315	semapv:ManualMappingCuration	transcription start sites	TSS	genomic element set	sequence feature type	exact	Direct match
onga:TSS_reference	onga:has_element_type	SO:0000315	semapv:ManualMappingCuration	TSS reference	TSS	genomic element set	sequence feature type	broad	Reference set of TSSs
onga:copy_number_variation	onga:has_element_type	SO:0001019	semapv:ManualMappingCuration	copy number variation	copy_number_variation	genomic element set	sequence feature type	exact	Direct match
onga:SNPs	onga:has_element_type	SO:0000694	semapv:ManualMappingCuration	SNPs	SNP	genomic element set	sequence feature type	exact	Direct match
onga:curated_SNVs	onga:has_element_type	SO:0001483	semapv:ManualMappingCuration	curated SNVs	SNV	genomic element set	sequence feature type	broad	Curation is provenance; content is an SNV
onga:indels	onga:has_element_type	SO:1000032	semapv:ManualMappingCuration	indels	delins	genomic element set	sequence feature type	approximate	SO 'delins' carries the 'indel' synonym; SO:0002217 unspecified_indel is a narrower sibling
onga:variant_calls	onga:has_element_type	SO:0001060	semapv:ManualMappingCuration	variant calls	sequence_variant	genomic element set	sequence feature type	approximate	Generic called variants
onga:reference_variants	onga:has_element_type	SO:0001060	semapv:ManualMappingCuration	reference variants	sequence_variant	genomic element set	sequence feature type	broad	Known-variant reference set
onga:variant_reference	onga:has_element_type	SO:0001060	semapv:ManualMappingCuration	variant reference	sequence_variant	genomic element set	sequence feature type	broad	Known-variant reference database
onga:allele_specific_variants	onga:has_element_type	SO:0001060	semapv:ManualMappingCuration	allele-specific variants	sequence_variant	genomic element set	sequence feature type	broad	Allele-specificity is an interpretation facet, not an SO class
onga:maternal_variant_calls	onga:has_element_type	SO:0001775	semapv:ManualMappingCuration	maternal variant calls	maternal_variant	genomic element set	sequence feature type	approximate	Direct match on parental origin
onga:paternal_variant_calls	onga:has_element_type	SO:0001776	semapv:ManualMappingCuration	paternal variant calls	paternal_variant	genomic element set	sequence feature type	approximate	Direct match on parental origin
onga:eQTLs	onga:has_element_type	SO:0000771	semapv:ManualMappingCuration	eQTLs	QTL	genomic element set	sequence feature type	broad	SO has no expression-specific QTL subtype
onga:dsQTLs	onga:has_element_type	SO:0000771	semapv:ManualMappingCuration	dsQTLs	QTL	genomic element set	sequence feature type	broad	SO has no accessibility-specific QTL subtype
onga:sequence_motifs	onga:has_element_type	SO:0001683	semapv:ManualMappingCuration	sequence motifs	sequence_motif	genomic element set	sequence feature type	exact	Direct match
onga:sequence_motifs_instances	onga:has_element_type	SO:0000714	semapv:ManualMappingCuration	sequence motifs instances	nucleotide_motif	genomic element set	sequence feature type	approximate	Located motif occurrences in nucleotide sequence
onga:splice_junctions	onga:has_element_type	SO:0001421	semapv:ManualMappingCuration	splice junctions	splice_junction	genomic element set	sequence feature type	exact	Direct match
onga:transcribed_fragments	onga:has_element_type	SO:0001418	semapv:ManualMappingCuration	transcribed fragments	transcribed_fragment	genomic element set	sequence feature type	exact	Direct match
onga:repeat_elements_annotation	onga:has_element_type	SO:0000657	semapv:ManualMappingCuration	repeat elements annotation	repeat_region	genomic element set	sequence feature type	broad	Annotation of repeat regions
onga:miRNA_annotations	onga:has_element_type	SO:0000276	semapv:ManualMappingCuration	miRNA annotations	miRNA	genomic element set	sequence feature type	broad	Annotation of miRNA genes and precursors
onga:restriction_enzyme_site_locations	onga:has_element_type	SO:0001687	semapv:ManualMappingCuration	restriction enzyme site locations	restriction_enzyme_recognition_site	genomic element set	sequence feature type	approximate	Locations of recognition sites
onga:RNA_binding_protein_associated_mRNAs	onga:has_element_type	SO:0000279	semapv:ManualMappingCuration	RNA-binding protein associated mRNAs	transcript_bound_by_protein	genomic element set	sequence feature type	approximate	Transcripts bound by protein
onga:functional_conservation_mapping	onga:has_element_type	SO:0000330	semapv:ManualMappingCuration	functional conservation mapping	conserved_region	genomic element set	sequence feature type	approximate	Conserved regions across species
onga:contigs	onga:has_element_type	SO:0000149	semapv:ManualMappingCuration	contigs	contig	genomic element set	sequence feature type	exact	Direct match
onga:m6A_methylation_state	onga:has_element_type	SO:0001297	semapv:ManualMappingCuration	m6A methylation state	N6_methyladenosine	genomic element set	sequence feature type	exact	Direct match
onga:m5C_methylation_state	onga:has_element_type	SO:0001282	semapv:ManualMappingCuration	m5C methylation state	five_methylcytidine	genomic element set	sequence feature type	approximate	RNA 5-methylcytidine (not the DNA term SO:0001918)
onga:inosine_methylation_state	onga:has_element_type	SO:0001274	semapv:ManualMappingCuration	inosine methylation state	modified_inosine	genomic element set	sequence feature type	approximate	A-to-I editing product
onga:pseudouridine_methylation_state	onga:has_element_type	SO:0001229	semapv:ManualMappingCuration	pseudouridine methylation state	pseudouridine	genomic element set	sequence feature type	approximate	Direct match on the modified base
onga:Nm_methylation_state	onga:has_element_type	SO:0000250	semapv:ManualMappingCuration	Nm methylation state	modified_RNA_base_feature	genomic element set	sequence feature type	broad	SO has only base-specific 2'-O-methyl terms, no generic Nm
onga:reads	onga:has_element_type	SO:0000150	semapv:ManualMappingCuration	reads	read	genomic element set	sequence feature type	exact	Direct match
onga:rejected_reads	onga:has_element_type	SO:0000150	semapv:ManualMappingCuration	rejected reads	read	genomic element set	sequence feature type	broad	Rejection is a QC facet
onga:subreads	onga:has_element_type	SO:0000150	semapv:ManualMappingCuration	subreads	read	genomic element set	sequence feature type	broad	Long-read subread; SO has no subread term
onga:R2C2_subreads	onga:has_element_type	SO:0000150	semapv:ManualMappingCuration	R2C2 subreads	read	genomic element set	sequence feature type	broad	Rolling-circle subread; SO has no subread term
onga:index_reads	onga:has_element_type	SO:0002023	semapv:ManualMappingCuration	index reads	multiplexing_sequence_identifier	genomic element set	sequence feature type	approximate	Demultiplexing index sequence
onga:sequence_barcodes	onga:has_element_type	SO:0002023	semapv:ManualMappingCuration	sequence barcodes	multiplexing_sequence_identifier	genomic element set	sequence feature type	approximate	Sample or cell multiplexing tag
onga:primer_sequence	onga:has_element_type	SO:0000112	semapv:ManualMappingCuration	primer sequence	primer	genomic element set	sequence feature type	exact	Direct match
onga:gRNAs	onga:has_element_type	SO:0001998	semapv:ManualMappingCuration	gRNAs	sgRNA	genomic element set	sequence feature type	exact	CRISPR single-guide RNA (SO:0000602 guide_RNA is the RNA-editing sense)
onga:non_targeting_gRNAs	onga:has_element_type	SO:0001998	semapv:ManualMappingCuration	non-targeting gRNAs	sgRNA	genomic element set	sequence feature type	broad	Control guides; targeting status is not an SO axis
onga:safe_targeting_gRNAs	onga:has_element_type	SO:0001998	semapv:ManualMappingCuration	safe-targeting gRNAs	sgRNA	genomic element set	sequence feature type	broad	Control guides
onga:ranked_gRNAs	onga:has_element_type	SO:0001998	semapv:ManualMappingCuration	ranked gRNAs	sgRNA	genomic element set	sequence feature type	broad	Ranking is provenance
onga:chromosomes_reference	onga:has_element_type	SO:0000340	semapv:ManualMappingCuration	chromosomes reference	chromosome	genomic element set	sequence feature type	broad	Per-chromosome reference sequences
onga:mitochondrial_genome_reference	onga:has_element_type	SO:0000737	semapv:ManualMappingCuration	mitochondrial genome reference	mitochondrial_sequence	genomic element set	sequence feature type	approximate	Mitochondrial reference sequence
onga:repeats_reference	onga:has_element_type	SO:0000657	semapv:ManualMappingCuration	repeats reference	repeat_region	genomic element set	sequence feature type	broad	Reference repeat annotation
onga:rRNA_reference	onga:has_element_type	SO:0000252	semapv:ManualMappingCuration	rRNA reference	rRNA	genomic element set	sequence feature type	broad	Reference rRNA sequences
onga:tRNA_reference	onga:has_element_type	SO:0000253	semapv:ManualMappingCuration	tRNA reference	tRNA	genomic element set	sequence feature type	broad	Reference tRNA sequences
onga:snRNA_reference	onga:has_element_type	SO:0000274	semapv:ManualMappingCuration	snRNA reference	snRNA	genomic element set	sequence feature type	broad	Reference snRNA sequences
onga:miRNA_reference	onga:has_element_type	SO:0000276	semapv:ManualMappingCuration	miRNA reference	miRNA	genomic element set	sequence feature type	broad	Reference miRNA sequences and annotations
onga:peaks	onga:has_element_type	SO:0000703	semapv:ManualMappingCuration	peaks	experimental_result_region	genomic element set	sequence feature type	approximate	Re-graded from relatedMatch: peak rows ARE experimental result regions; the earlier objection was that SO:0001697 ChIP_seq_region is assay-bound, a different point
onga:DHS_peaks	onga:has_element_type	SO:0000685	semapv:ManualMappingCuration	DHS peaks	DNaseI_hypersensitive_site	genomic element set	sequence feature type	exact	Direct match
onga:consensus_DNase_hypersensitivity_sites	onga:has_element_type	SO:0000685	semapv:ManualMappingCuration	consensus DNase hypersensitivity sites	DNaseI_hypersensitive_site	genomic element set	sequence feature type	broad	Consensus across samples is provenance
onga:representative_DNase_hypersensitivity_sites	onga:has_element_type	SO:0000685	semapv:ManualMappingCuration	representative DNase hypersensitivity sites	DNaseI_hypersensitive_site	genomic element set	sequence feature type	broad	Curated representative set
onga:DHS_regions_reference	onga:has_element_type	SO:0000685	semapv:ManualMappingCuration	DHS regions reference	DNaseI_hypersensitive_site	genomic element set	sequence feature type	broad	Reference set of DHSs
onga:hotspots	onga:has_element_type	SO:0002331	semapv:ManualMappingCuration	hotspots	accessible_DNA_region	genomic element set	sequence feature type	approximate	Broad accessible-chromatin domains
onga:genome_reference	skos:exactMatch	SO:0001505	semapv:ManualMappingCuration	genome reference	reference_genome	genomic element set	sequence feature type		Set-to-set exception: SO:0001505 is itself defined as 'A collection of sequences (often chromosomes) taken as the standard for a given organism and genome assembly'
onga:personalized_genome_assembly	skos:closeMatch	SO:0001506	semapv:ManualMappingCuration	personalized genome assembly	variant_genome	genomic element set	sequence feature type		Set-to-set exception: SO:0001506 is itself defined as 'A collection of sequences (often chromosomes) of an individual'
onga:methylated_reads	skos:relatedMatch	SO:0000306	semapv:ManualMappingCuration	methylated reads	methylated_DNA_base_feature	genomic element set	sequence feature type		Rows are reads CARRYING the base modification, not the base feature itself
onga:variant_effect_quantifications	skos:relatedMatch	SO:0001536	semapv:ManualMappingCuration	variant effect quantifications	functional_effect_variant	genomic element set	sequence feature type		Rows are numbers about variants, not variants
onga:PWMs	skos:relatedMatch	SO:0001683	semapv:ManualMappingCuration	PWMs	sequence_motif	genomic element set	sequence feature type		A PWM is a MODEL of a motif; SO has no matrix/model term
onga:maternal_haplotype_mapping	skos:relatedMatch	SO:0001024	semapv:ManualMappingCuration	maternal haplotype mapping	haplotype	genomic element set	sequence feature type		Rows are haplotype assignments, not haplotypes
onga:paternal_haplotype_mapping	skos:relatedMatch	SO:0001024	semapv:ManualMappingCuration	paternal haplotype mapping	haplotype	genomic element set	sequence feature type		Rows are haplotype assignments, not haplotypes
onga:mapping	skos:relatedMatch	SO:0001024	semapv:ManualMappingCuration	mapping	haplotype	genomic element set	sequence feature type		Rows are haplotype assignments, not haplotypes
onga:nuclease_cleavage_frequency	skos:relatedMatch	SO:0000684	semapv:ManualMappingCuration	nuclease cleavage frequency	nuclease_sensitive_site	genomic element set	sequence feature type		Group C: rows are per-base numbers, not nuclease-sensitive sites; fails the DataType admissibility rule
onga:sequence_adapters	skos:relatedMatch	SO:0000150	semapv:ManualMappingCuration	sequence adapters	read	genomic element set	sequence feature type		Group D: adapters are not reads and SO has no adapter term (see SO-REQ-010)
